user,artid,artname,song
05101d258a32f7f2fc57593a45722d2b896a4d2f,557ac15e-7800-44c3-bb62-d4ab34ac1e28,los hermanos,956
05101d258a32f7f2fc57593a45722d2b896a4d2f,0bfba3d3-6a04-4779-bb0a-df07df5b0558,stereophonics,721
05101d258a32f7f2fc57593a45722d2b896a4d2f,1cc5adcd-1422-4b5c-a3cd-3ecd4f43f506,beck,707
05101d258a32f7f2fc57593a45722d2b896a4d2f,14387b0f-765c-4852-852f-135335790466,eels,670
05101d258a32f7f2fc57593a45722d2b896a4d2f,e6f8912b-7df9-4aae-b551-2cd03dc29588,teenage fanclub,660
05101d258a32f7f2fc57593a45722d2b896a4d2f,6ffb8ea9-2370-44d8-b678-e9237bbd347b,kings of leon,566
05101d258a32f7f2fc57593a45722d2b896a4d2f,f181961b-20f7-459e-89de-920ef03c7ed0,the strokes,545
05101d258a32f7f2fc57593a45722d2b896a4d2f,7739f53a-f809-48a3-942a-fbea493f0a17,céu,434
05101d258a32f7f2fc57593a45722d2b896a4d2f,ef43cee7-13f5-4d10-844e-879aba3d8b19,camera obscura,427
05101d258a32f7f2fc57593a45722d2b896a4d2f,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,death cab for cutie,412
05101d258a32f7f2fc57593a45722d2b896a4d2f,969e51a2-4982-4c95-b365-eab8100f8b7a,mombojó,406
05101d258a32f7f2fc57593a45722d2b896a4d2f,05755bf1-380c-487f-983f-d1a02401fa28,cat power,390
05101d258a32f7f2fc57593a45722d2b896a4d2f,3a5d1cc7-627e-48ea-aba3-fdd20d782c33,chico buarque,339
05101d258a32f7f2fc57593a45722d2b896a4d2f,6386ddff-0d13-4685-9f0a-a82bf022fb1c,supergrass,329
05101d258a32f7f2fc57593a45722d2b896a4d2f,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,johnny cash,299
05101d258a32f7f2fc57593a45722d2b896a4d2f,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,belle and sebastian,294
05101d258a32f7f2fc57593a45722d2b896a4d2f,52074ba6-e495-4ef3-9bb4-0703888a9f68,the arcade fire,281
05101d258a32f7f2fc57593a45722d2b896a4d2f,4015f3f8-2711-41de-b80b-4fee07373b12,gorky's zygotic mynci,268
05101d258a32f7f2fc57593a45722d2b896a4d2f,2538f4bf-a54f-46c7-ae78-24f456325263,cachorro grande,266
05101d258a32f7f2fc57593a45722d2b896a4d2f,c5f5dc27-3059-49c0-ae45-5009a01bb9ec,super furry animals,251
05101d258a32f7f2fc57593a45722d2b896a4d2f,97b1142f-c71e-4971-8736-4a8ceaf6b4c3,the decemberists,251
05101d258a32f7f2fc57593a45722d2b896a4d2f,b23e8a63-8f47-4882-b55b-df2c92ef400e,interpol,248
05101d258a32f7f2fc57593a45722d2b896a4d2f,b76ce972-d1f2-4db5-adef-5447323be2f1,mariana aydar,247
05101d258a32f7f2fc57593a45722d2b896a4d2f,e795e03d-b5d5-4a5f-834d-162cfb308a2c,pj harvey,247
05101d258a32f7f2fc57593a45722d2b896a4d2f,847e8284-8582-4b0e-9c26-b042a4f49e57,placebo,235
